Year,LocationAbbr,LocationDesc,DataSource,Category,Indicator,Response,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Alt,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,Number,WeightedNumber,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,CategoryID,IndicatorID,LocationID,ResponseID,DataValueTypeID,StratificationCategoryID1,StratificationID1,StratificationCategoryID2,StratificationID2
2021,RI,Rhode Island,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,"Asian, non-Hispanic",%,Age-adjusted Prevalence,,,*,Data suppressed,,,,,Disability Type,Mobility Disability,,,DISEST,RACEIND,44,RACE05,AGEADJPREV,DISTYPE,MOBDIS,,
2021,NE,Nebraska,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by sex,Female,%,Age-adjusted Prevalence,75.6,75.6,,,74.1,77,5561,538567,Disability Status,No Disability,,,DISEST,SEXIND,31,SEX02,AGEADJPREV,DISSTAT,NODIS,,
2021,NV,Nevada,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by sex,Female,%,Age-adjusted Prevalence,9.8,9.8,,,7.4,12.7,143,116639,Disability Type,Independent Living Disability,,,DISEST,SEXIND,32,SEX02,AGEADJPREV,DISTYPE,INDDIS,,
2021,CT,Connecticut,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,"American Indian or Alaska Native, non-Hispanic",%,Age-adjusted Prevalence,,,*,Data suppressed,,,,,Disability Type,Mobility Disability,,,DISEST,RACEIND,9,RACE07,AGEADJPREV,DISTYPE,MOBDIS,,
2021,AR,Arkansas,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by age group,18-44,%,Prevalence,19.1,19.1,,,16.2,22.4,153,187794,Disability Type,Cognitive Disability,,,DISEST,AGEIND,5,AGE01,PREV,DISTYPE,COGDIS,,
2021,HHS1,HHS Region 1,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by age group,45-64,%,Prevalence,3.6,3.6,,,3.2,4.1,612,140220,Disability Type,Self-care Disability,,,DISEST,AGEIND,80,AGE02,PREV,DISTYPE,SELFDIS,,
2021,LA,Louisiana,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,"Black, non-Hispanic",%,Age-adjusted Prevalence,19.3,19.3,,,16.9,21.9,251,197432,Disability Type,Mobility Disability,,,DISEST,RACEIND,22,RACE02,AGEADJPREV,DISTYPE,MOBDIS,,
2021,TX,Texas,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,"Other / Multirace, non-Hispanic",%,Age-adjusted Prevalence,18.8,18.8,,,12.9,26.5,53,62570,Disability Type,Mobility Disability,,,DISEST,RACEIND,48,RACE04,AGEADJPREV,DISTYPE,MOBDIS,,
2021,AK,Alaska,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by age group,65+,%,Prevalence,9,9,,,7.2,11.1,148,8764,Disability Type,Cognitive Disability,,,DISEST,AGEIND,2,AGE03,PREV,DISTYPE,COGDIS,,
2021,HHS4,HHS Region 4,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by sex,Male,%,Age-adjusted Prevalence,4,4,,,3.7,4.4,927,712558,Disability Type,Self-care Disability,,,DISEST,SEXIND,83,SEX01,AGEADJPREV,DISTYPE,SELFDIS,,
2021,HHS5,HHS Region 5,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by veteran status,Veteran,%,Age-adjusted Prevalence,14.7,14.7,,,12.8,16.8,1233,744706,Disability Type,Mobility Disability,,,DISEST,VETIND,84,VET1,AGEADJPREV,DISTYPE,MOBDIS,,
2021,MO,Missouri,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by sex,Male,%,Age-adjusted Prevalence,12.7,12.7,,,11.4,14.2,677,283239,Disability Type,Cognitive Disability,,,DISEST,SEXIND,29,SEX01,AGEADJPREV,DISTYPE,COGDIS,,
2021,OK,Oklahoma,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,"Other / Multirace, non-Hispanic",%,Age-adjusted Prevalence,,,*,Data suppressed,,,,,Disability Type,Self-care Disability,,,DISEST,RACEIND,40,RACE04,AGEADJPREV,DISTYPE,SELFDIS,,
2021,WA,Washington,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,"Other / Multirace, non-Hispanic",%,Age-adjusted Prevalence,37.4,37.4,,,31.9,43.3,187,67961,Disability Status,Any Disability,,,DISEST,RACEIND,53,RACE04,AGEADJPREV,DISSTAT,DISABL,,
2021,MA,Massachusetts,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,"Other / Multirace, non-Hispanic",%,Age-adjusted Prevalence,,,*,Data suppressed,,,,,Disability Type,Hearing Disability,,,DISEST,RACEIND,25,RACE04,AGEADJPREV,DISTYPE,HEARDIS,,
2021,NV,Nevada,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by age group,18-44,%,Prevalence,5.5,5.5,,,3.6,8.3,44,60407,Disability Type,Mobility Disability,,,DISEST,AGEIND,32,AGE01,PREV,DISTYPE,MOBDIS,,
2021,AK,Alaska,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by age group,65+,%,Prevalence,42.7,42.7,,,39.3,46.2,707,41256,Disability Status,Any Disability,,,DISEST,AGEIND,2,AGE03,PREV,DISSTAT,DISABL,,
2021,MN,Minnesota,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,Hispanic,%,Age-adjusted Prevalence,4.5,4.5,,,2.7,7.4,26,6208,Disability Type,Hearing Disability,,,DISEST,RACEIND,27,RACE03,AGEADJPREV,DISTYPE,HEARDIS,,
2021,US,"United States, DC & Territories",BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by sex,Male,%,Age-adjusted Prevalence,4.4,4.4,,,4.2,4.6,9131,5277132,Disability Type,Vision Disability,,,DISEST,SEXIND,59,SEX01,AGEADJPREV,DISTYPE,VISDIS,,
2021,RI,Rhode Island,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by age group,18-44,%,Prevalence,79.1,79.1,,,76.2,81.7,1257,295301,Disability Status,No Disability,,,DISEST,AGEIND,44,AGE01,PREV,DISSTAT,NODIS,,
2021,NV,Nevada,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by veteran status,Non-Veteran,%,Age-adjusted Prevalence,13.4,13.4,,,11.7,15.4,384,305160,Disability Type,Mobility Disability,,,DISEST,VETIND,32,VET2,AGEADJPREV,DISTYPE,MOBDIS,,
2021,GA,Georgia,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,"Asian, non-Hispanic",%,Age-adjusted Prevalence,,,*,Data suppressed,,,,,Disability Type,Vision Disability,,,DISEST,RACEIND,13,RACE05,AGEADJPREV,DISTYPE,VISDIS,,
2021,HHS5,HHS Region 5,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,"Other / Multirace, non-Hispanic",%,Age-adjusted Prevalence,8.9,8.9,,,6.7,11.8,105,48890,Disability Type,Vision Disability,,,DISEST,RACEIND,84,RACE04,AGEADJPREV,DISTYPE,VISDIS,,
2021,VI,U.S. Virgin Islands,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,"Black, non-Hispanic",%,Age-adjusted Prevalence,72.9,72.9,,,65,79.6,580,35339,Disability Status,No Disability,,,DISEST,RACEIND,78,RACE02,AGEADJPREV,DISSTAT,NODIS,,
2021,AK,Alaska,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by age group,65+,%,Prevalence,22.7,22.7,,,19.9,25.7,374,22026,Disability Type,Mobility Disability,,,DISEST,AGEIND,2,AGE03,PREV,DISTYPE,MOBDIS,,
2021,CA,California,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,"Native Hawaiian or Other Pacific Islander, non-Hispanic",%,Age-adjusted Prevalence,,,*,Data suppressed,,,,,Disability Type,Mobility Disability,,,DISEST,RACEIND,6,RACE06,AGEADJPREV,DISTYPE,MOBDIS,,
2021,DC,District of Columbia,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by age group,18-44,%,Prevalence,11,11,,,8.6,14.1,85,33643,Disability Type,Cognitive Disability,,,DISEST,AGEIND,11,AGE01,PREV,DISTYPE,COGDIS,,
2021,DE,Delaware,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by age group,18-44,%,Prevalence,2.1,2.1,,,1.2,3.8,19,6599,Disability Type,Self-care Disability,,,DISEST,AGEIND,10,AGE01,PREV,DISTYPE,SELFDIS,,
2021,AL,Alabama,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by sex,Male,%,Age-adjusted Prevalence,70.6,70.6,,,67.6,73.4,1187,1242482,Disability Status,No Disability,,,DISEST,SEXIND,1,SEX01,AGEADJPREV,DISSTAT,NODIS,,
2021,OH,Ohio,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by veteran status,Veteran,%,Age-adjusted Prevalence,34.9,34.9,,,30,40.1,655,344563,Disability Status,Any Disability,,,DISEST,VETIND,39,VET1,AGEADJPREV,DISSTAT,DISABL,,
2021,ID,Idaho,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,"Other / Multirace, non-Hispanic",%,Age-adjusted Prevalence,13.7,13.7,,,9.2,19.9,34,4250,Disability Type,Mobility Disability,,,DISEST,RACEIND,16,RACE04,AGEADJPREV,DISTYPE,MOBDIS,,
2021,PR,Puerto Rico,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,"Asian, non-Hispanic",%,Age-adjusted Prevalence,,,*,Data suppressed,,,,,Disability Status,Any Disability,,,DISEST,RACEIND,72,RACE05,AGEADJPREV,DISSTAT,DISABL,,
2021,AK,Alaska,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by age group,65+,%,Prevalence,8.1,8.1,,,6.5,10,134,7815,Disability Type,Independent Living Disability,,,DISEST,AGEIND,2,AGE03,PREV,DISTYPE,INDDIS,,
2021,HHS2,HHS Region 2,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by veteran status,Non-Veteran,%,Age-adjusted Prevalence,3.5,3.5,,,3.2,3.7,1893,866411,Disability Type,Self-care Disability,,,DISEST,VETIND,81,VET2,AGEADJPREV,DISTYPE,SELFDIS,,
2021,HHS8,HHS Region 8,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,"Asian, non-Hispanic",%,Age-adjusted Prevalence,,,*,Data suppressed,,,,,Disability Type,Mobility Disability,,,DISEST,RACEIND,87,RACE05,AGEADJPREV,DISTYPE,MOBDIS,,
2021,IA,Iowa,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,"Asian, non-Hispanic",%,Age-adjusted Prevalence,,,*,Data suppressed,,,,,Disability Type,Independent Living Disability,,,DISEST,RACEIND,19,RACE05,AGEADJPREV,DISTYPE,INDDIS,,
2021,DC,District of Columbia,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by age group,18-44,%,Prevalence,83,83,,,79.6,85.9,939,251119,Disability Status,No Disability,,,DISEST,AGEIND,11,AGE01,PREV,DISSTAT,NODIS,,
2021,WA,Washington,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,"American Indian or Alaska Native, non-Hispanic",%,Age-adjusted Prevalence,63.1,63.1,,,53.2,72,73,44419,Disability Status,No Disability,,,DISEST,RACEIND,53,RACE07,AGEADJPREV,DISSTAT,NODIS,,
2021,MT,Montana,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,"White, non-Hispanic",%,Age-adjusted Prevalence,12.7,12.7,,,11.4,14.1,521,86862,Disability Type,Cognitive Disability,,,DISEST,RACEIND,30,RACE01,AGEADJPREV,DISTYPE,COGDIS,,
2021,LA,Louisiana,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,"Black, non-Hispanic",%,Age-adjusted Prevalence,10.1,10.1,,,8,12.6,116,100161,Disability Type,Independent Living Disability,,,DISEST,RACEIND,22,RACE02,AGEADJPREV,DISTYPE,INDDIS,,
2021,MO,Missouri,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,"Asian, non-Hispanic",%,Age-adjusted Prevalence,,,*,Data suppressed,,,,,Disability Type,Mobility Disability,,,DISEST,RACEIND,29,RACE05,AGEADJPREV,DISTYPE,MOBDIS,,
2021,MN,Minnesota,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by veteran status,Non-Veteran,%,Age-adjusted Prevalence,4.9,4.9,,,4.5,5.3,887,206020,Disability Type,Hearing Disability,,,DISEST,VETIND,27,VET2,AGEADJPREV,DISTYPE,HEARDIS,,
2021,KS,Kansas,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by sex,Male,%,Age-adjusted Prevalence,10.7,10.7,,,9.8,11.7,729,111859,Disability Type,Cognitive Disability,,,DISEST,SEXIND,20,SEX01,AGEADJPREV,DISTYPE,COGDIS,,
2021,DE,Delaware,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,"White, non-Hispanic",%,Age-adjusted Prevalence,5.1,5.1,,,4.1,6.2,201,32866,Disability Type,Hearing Disability,,,DISEST,RACEIND,10,RACE01,AGEADJPREV,DISTYPE,HEARDIS,,
2021,WV,West Virginia,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,"Black, non-Hispanic",%,Age-adjusted Prevalence,,,*,Data suppressed,,,,,Disability Type,Self-care Disability,,,DISEST,RACEIND,54,RACE02,AGEADJPREV,DISTYPE,SELFDIS,,
2021,AK,Alaska,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by age group,65+,%,Prevalence,57.3,57.3,,,53.8,60.7,963,55426,Disability Status,No Disability,,,DISEST,AGEIND,2,AGE03,PREV,DISSTAT,NODIS,,
2021,ID,Idaho,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,"Asian, non-Hispanic",%,Age-adjusted Prevalence,,,*,Data suppressed,,,,,Disability Type,Self-care Disability,,,DISEST,RACEIND,16,RACE05,AGEADJPREV,DISTYPE,SELFDIS,,
2021,VI,U.S. Virgin Islands,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by age group,18-44,%,Prevalence,10.3,10.3,,,6,17.2,30,3493,Disability Type,Cognitive Disability,,,DISEST,AGEIND,78,AGE01,PREV,DISTYPE,COGDIS,,
2021,TN,Tennessee,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by veteran status,Veteran,%,Age-adjusted Prevalence,16.4,16.4,,,12,22,92,93152,Disability Type,Cognitive Disability,,,DISEST,VETIND,47,VET1,AGEADJPREV,DISTYPE,COGDIS,,
2021,MI,Michigan,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,"White, non-Hispanic",%,Age-adjusted Prevalence,12.4,12.4,,,11.2,13.6,665,641369,Disability Type,Cognitive Disability,,,DISEST,RACEIND,26,RACE01,AGEADJPREV,DISTYPE,COGDIS,,
2021,LA,Louisiana,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by sex,Male,%,Age-adjusted Prevalence,15.1,15.1,,,13.5,17,403,258823,Disability Type,Mobility Disability,,,DISEST,SEXIND,22,SEX01,AGEADJPREV,DISTYPE,MOBDIS,,
2021,AK,Alaska,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by age group,65+,%,Prevalence,4.2,4.2,,,3.1,5.6,81,4082,Disability Type,Self-care Disability,,,DISEST,AGEIND,2,AGE03,PREV,DISTYPE,SELFDIS,,
2021,WI,Wisconsin,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,"American Indian or Alaska Native, non-Hispanic",%,Age-adjusted Prevalence,,,*,Data suppressed,,,,,Disability Type,Vision Disability,,,DISEST,RACEIND,55,RACE07,AGEADJPREV,DISTYPE,VISDIS,,
2021,HHS4,HHS Region 4,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by veteran status,Non-Veteran,%,Age-adjusted Prevalence,30.8,30.8,,,30.1,31.5,12163,9505409,Disability Status,Any Disability,,,DISEST,VETIND,83,VET2,AGEADJPREV,DISSTAT,DISABL,,
2021,HI,Hawaii,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,"White, non-Hispanic",%,Age-adjusted Prevalence,3.7,3.7,,,2.7,5,120,11015,Disability Type,Independent Living Disability,,,DISEST,RACEIND,15,RACE01,AGEADJPREV,DISTYPE,INDDIS,,
2021,MT,Montana,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by sex,Female,%,Age-adjusted Prevalence,2.7,2.7,,,2.1,3.6,98,12484,Disability Type,Self-care Disability,,,DISEST,SEXIND,30,SEX02,AGEADJPREV,DISTYPE,SELFDIS,,
2021,TX,Texas,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by age group,18-44,%,Prevalence,2.1,2.1,,,1.5,3.1,83,221584,Disability Type,Self-care Disability,,,DISEST,AGEIND,48,AGE01,PREV,DISTYPE,SELFDIS,,
2021,MS,Mississippi,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by age group,18-44,%,Prevalence,6.1,6.1,,,4.4,8.3,66,61512,Disability Type,Vision Disability,,,DISEST,AGEIND,28,AGE01,PREV,DISTYPE,VISDIS,,
2021,AK,Alaska,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by age group,65+,%,Prevalence,7.5,7.5,,,5.8,9.7,120,7333,Disability Type,Vision Disability,,,DISEST,AGEIND,2,AGE03,PREV,DISTYPE,VISDIS,,
2021,GU,Guam,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by sex,Female,%,Age-adjusted Prevalence,70.5,70.5,,,64.4,75.9,563,33800,Disability Status,No Disability,,,DISEST,SEXIND,66,SEX02,AGEADJPREV,DISSTAT,NODIS,,
2021,HHS2,HHS Region 2,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by sex,Male,%,Age-adjusted Prevalence,5.8,5.8,,,5.4,6.3,2139,763943,Disability Type,Hearing Disability,,,DISEST,SEXIND,81,SEX01,AGEADJPREV,DISTYPE,HEARDIS,,
2021,ID,Idaho,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,"Black, non-Hispanic",%,Age-adjusted Prevalence,,,*,Data suppressed,,,,,Disability Type,Vision Disability,,,DISEST,RACEIND,16,RACE02,AGEADJPREV,DISTYPE,VISDIS,,
2021,UT,Utah,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by sex,Female,%,Age-adjusted Prevalence,9.1,9.1,,,8.1,10.2,459,105294,Disability Type,Independent Living Disability,,,DISEST,SEXIND,49,SEX02,AGEADJPREV,DISTYPE,INDDIS,,
2021,DC,District of Columbia,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,"White, non-Hispanic",%,Age-adjusted Prevalence,2.2,2.2,,,1.6,3,61,4103,Disability Type,Hearing Disability,,,DISEST,RACEIND,11,RACE01,AGEADJPREV,DISTYPE,HEARDIS,,
2021,HHS5,HHS Region 5,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,"American Indian or Alaska Native, non-Hispanic",%,Age-adjusted Prevalence,10.7,10.7,,,6.5,17.1,49,28961,Disability Type,Vision Disability,,,DISEST,RACEIND,84,RACE07,AGEADJPREV,DISTYPE,VISDIS,,
2021,DC,District of Columbia,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,"White, non-Hispanic",%,Age-adjusted Prevalence,89.5,89.5,,,87.4,91.3,1237,193213,Disability Status,No Disability,,,DISEST,RACEIND,11,RACE01,AGEADJPREV,DISSTAT,NODIS,,
2021,AL,Alabama,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by age group,65+,%,Prevalence,11.1,11.1,,,9.3,13.3,187,100581,Disability Type,Cognitive Disability,,,DISEST,AGEIND,1,AGE03,PREV,DISTYPE,COGDIS,,
2021,HHS6,HHS Region 6,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,Hispanic,%,Age-adjusted Prevalence,6,6,,,5,7.3,430,475149,Disability Type,Hearing Disability,,,DISEST,RACEIND,85,RACE03,AGEADJPREV,DISTYPE,HEARDIS,,
2021,AZ,Arizona,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,"American Indian or Alaska Native, non-Hispanic",%,Age-adjusted Prevalence,,,*,Data suppressed,,,,,Disability Type,Self-care Disability,,,DISEST,RACEIND,4,RACE07,AGEADJPREV,DISTYPE,SELFDIS,,
2021,HHS7,HHS Region 7,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,"American Indian or Alaska Native, non-Hispanic",%,Age-adjusted Prevalence,10.7,10.7,,,6.9,16.4,45,11053,Disability Type,Vision Disability,,,DISEST,RACEIND,86,RACE07,AGEADJPREV,DISTYPE,VISDIS,,
2021,DE,Delaware,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by sex,Female,%,Age-adjusted Prevalence,3.4,3.4,,,2.6,4.5,103,16069,Disability Type,Hearing Disability,,,DISEST,SEXIND,10,SEX02,AGEADJPREV,DISTYPE,HEARDIS,,
2021,CO,Colorado,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by sex,Male,%,Age-adjusted Prevalence,6.2,6.2,,,5.5,7,381,140764,Disability Type,Hearing Disability,,,DISEST,SEXIND,8,SEX01,AGEADJPREV,DISTYPE,HEARDIS,,
2021,MI,Michigan,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by sex,Male,%,Age-adjusted Prevalence,6,6,,,5,7.2,229,221421,Disability Type,Independent Living Disability,,,DISEST,SEXIND,26,SEX01,AGEADJPREV,DISTYPE,INDDIS,,
2021,CA,California,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by sex,Female,%,Age-adjusted Prevalence,26.6,26.6,,,24.5,28.8,908,4107925,Disability Status,Any Disability,,,DISEST,SEXIND,6,SEX02,AGEADJPREV,DISSTAT,DISABL,,
2021,WV,West Virginia,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,Hispanic,%,Age-adjusted Prevalence,,,*,Data suppressed,,,,,Disability Type,Vision Disability,,,DISEST,RACEIND,54,RACE03,AGEADJPREV,DISTYPE,VISDIS,,
2021,NJ,New Jersey,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,"Black, non-Hispanic",%,Age-adjusted Prevalence,13.6,13.6,,,11.1,16.5,149,127820,Disability Type,Mobility Disability,,,DISEST,RACEIND,34,RACE02,AGEADJPREV,DISTYPE,MOBDIS,,
2021,GA,Georgia,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by sex,Female,%,Age-adjusted Prevalence,68.6,68.6,,,66.3,70.8,2683,2692387,Disability Status,No Disability,,,DISEST,SEXIND,13,SEX02,AGEADJPREV,DISSTAT,NODIS,,
2021,WV,West Virginia,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by age group,18-44,%,Prevalence,18.8,18.8,,,16.7,21.2,284,105962,Disability Type,Cognitive Disability,,,DISEST,AGEIND,54,AGE01,PREV,DISTYPE,COGDIS,,
2021,HHS7,HHS Region 7,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,"Other / Multirace, non-Hispanic",%,Age-adjusted Prevalence,22.9,22.9,,,19.3,27,219,43299,Disability Type,Cognitive Disability,,,DISEST,RACEIND,86,RACE04,AGEADJPREV,DISTYPE,COGDIS,,
2021,WV,West Virginia,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by age group,45-64,%,Prevalence,12.4,12.4,,,10.9,14,285,56757,Disability Type,Independent Living Disability,,,DISEST,AGEIND,54,AGE02,PREV,DISTYPE,INDDIS,,
2021,NV,Nevada,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,"American Indian or Alaska Native, non-Hispanic",%,Age-adjusted Prevalence,,,*,Data suppressed,,,,,Disability Type,Cognitive Disability,,,DISEST,RACEIND,32,RACE07,AGEADJPREV,DISTYPE,COGDIS,,
